Dataset,Anchor,Baseline,Metric,Seeds,N,Anchor Mean,Baseline Mean,Mean Delta,Relative Delta %,Delta CI95 Low,Delta CI95 High,Signflip p
clean_amazon_reduced_min5,AsymLightGCN,LightGCN,recall@10,42/43/44/45/46/47,6,0.046500,0.031133,0.015367,49.36,0.008357,0.022376,0.031
clean_amazon_reduced_min5,AsymLightGCN,LightGCN,ndcg@10,42/43/44/45/46/47,6,0.023233,0.017517,0.005717,32.64,0.001645,0.009788,0.062
clean_amazon_reduced_min5,AsymLightGCN,LightGCN,recall@50,42/43/44/45/46/47,6,0.129733,0.087783,0.041950,47.79,0.036006,0.047894,0.031
clean_amazon_reduced_min5,AsymLightGCN,LightGCN,ndcg@50,42/43/44/45/46/47,6,0.041267,0.030033,0.011233,37.40,0.007662,0.014804,0.031
clean_amazon_reduced_min5,AsymLightGCN,NCL,recall@10,42/43/44/45/46/47,6,0.046500,0.032550,0.013950,42.86,0.007794,0.020106,0.031
clean_amazon_reduced_min5,AsymLightGCN,NCL,ndcg@10,42/43/44/45/46/47,6,0.023233,0.017700,0.005533,31.26,0.003419,0.007648,0.031
clean_amazon_reduced_min5,AsymLightGCN,NCL,recall@50,42/43/44/45/46/47,6,0.129733,0.090600,0.039133,43.19,0.031045,0.047221,0.031
clean_amazon_reduced_min5,AsymLightGCN,NCL,ndcg@50,42/43/44/45/46/47,6,0.041267,0.030400,0.010867,35.75,0.008815,0.012918,0.031
clean_amazon_reduced_min5,AsymLightGCN,BPR,recall@10,42/43/44/45/46/47,6,0.046500,0.018117,0.028383,156.67,0.021538,0.035229,0.031
clean_amazon_reduced_min5,AsymLightGCN,BPR,ndcg@10,42/43/44/45/46/47,6,0.023233,0.009750,0.013483,138.29,0.008595,0.018372,0.031
clean_amazon_reduced_min5,AsymLightGCN,BPR,recall@50,42/43/44/45/46/47,6,0.129733,0.041467,0.088267,212.86,0.078291,0.098243,0.031
clean_amazon_reduced_min5,AsymLightGCN,BPR,ndcg@50,42/43/44/45/46/47,6,0.041267,0.014883,0.026383,177.27,0.021050,0.031716,0.031
clean_amazon_reduced_min5,AsymLightGCN,MostPopIndependent,recall@10,42/43/44/45/46/47,6,0.046500,0.028221,0.018279,64.77,0.013140,0.023418,0.031
clean_amazon_reduced_min5,AsymLightGCN,MostPopIndependent,ndcg@10,42/43/44/45/46/47,6,0.023233,0.013303,0.009931,74.65,0.007533,0.012328,0.031
clean_amazon_reduced_min5,AsymLightGCN,MostPopIndependent,recall@50,42/43/44/45/46/47,6,0.129733,0.085117,0.044616,52.42,0.039346,0.049886,0.031
clean_amazon_reduced_min5,AsymLightGCN,MostPopIndependent,ndcg@50,42/43/44/45/46/47,6,0.041267,0.025593,0.015674,61.24,0.013809,0.017538,0.031
clean_amazon_reduced_min5,AsymLightGCN,Semantic-only,recall@10,42/43/44/45/46/47,6,0.046500,0.044061,0.002439,5.54,-0.004096,0.008975,0.406
clean_amazon_reduced_min5,AsymLightGCN,Semantic-only,ndcg@10,42/43/44/45/46/47,6,0.023233,0.028735,-0.005502,-19.15,-0.010909,-0.000094,0.094
clean_amazon_reduced_min5,AsymLightGCN,Semantic-only,recall@50,42/43/44/45/46/47,6,0.129733,0.085425,0.044309,51.87,0.038341,0.050276,0.031
clean_amazon_reduced_min5,AsymLightGCN,Semantic-only,ndcg@50,42/43/44/45/46/47,6,0.041267,0.037769,0.003498,9.26,-0.001528,0.008523,0.156
clean_movies_reduced,AsymLightGCN,LightGCN,recall@10,42/43/44,3,0.170433,0.202433,-0.032000,-15.81,-0.040544,-0.023456,0.250
clean_movies_reduced,AsymLightGCN,LightGCN,ndcg@10,42/43/44,3,0.094500,0.114200,-0.019700,-17.25,-0.024987,-0.014413,0.250
clean_movies_reduced,AsymLightGCN,LightGCN,recall@50,42/43/44,3,0.393767,0.438067,-0.044300,-10.11,-0.051295,-0.037305,0.250
