Dataset,Seed,Model,Users,recall@10,ndcg@10,recall@50,ndcg@50
clean_amazon_reduced_min5,42,AsymLightGCN,1433,0.053291463130960684,0.026066431737560163,0.13317790606695,0.04311651172252688
clean_amazon_reduced_min5,42,LightGCN,1433,0.030704815073272853,0.01634911941968401,0.09106769016050244,0.029739453424646095
clean_amazon_reduced_min5,42,MostPopIndependent,1433,0.0274482437776227,0.013238705312096356,0.08943940451267736,0.02678412147773384
clean_amazon_reduced_min5,42,NCL,1433,0.03303093742730867,0.017418090020792677,0.09077692486624797,0.03027022842824611
clean_amazon_reduced_min5,42,Semantic-only,1433,0.04256803907885554,0.02385889400232642,0.08411046966524985,0.033052122978672514
clean_amazon_reduced_min5,43,AsymLightGCN,1433,0.0450453593859037,0.021711064048031702,0.12613640139809018,0.03930447069556373
clean_amazon_reduced_min5,43,LightGCN,1433,0.025819958129797628,0.013185563351956848,0.08769481274715049,0.0267959638418506
clean_amazon_reduced_min5,43,MostPopIndependent,1433,0.02570365201209584,0.011838191476706703,0.07955338450802513,0.023364084957713565
clean_amazon_reduced_min5,43,NCL,1433,0.027448243777622703,0.014919776594081391,0.09351011863224006,0.02925021178576448
clean_amazon_reduced_min5,43,Semantic-only,1433,0.03919516166550361,0.029847957568571084,0.08019306815538496,0.03871766451382127
clean_amazon_reduced_min5,44,AsymLightGCN,1433,0.0362505022309628,0.01682565656329947,0.11794180464801539,0.034576700373938014
clean_amazon_reduced_min5,44,LightGCN,1433,0.030239590602465692,0.01798855149573344,0.08344963945103512,0.029598668603197525
clean_amazon_reduced_min5,44,MostPopIndependent,1433,0.023028611304954642,0.0106754035535867,0.07554082344731333,0.021992606694191653
clean_amazon_reduced_min5,44,NCL,1433,0.026750407071411953,0.01393899883169027,0.08821819027680855,0.027058852663716427
clean_amazon_reduced_min5,44,Semantic-only,1433,0.03931146778320539,0.022912161232197064,0.08327518027448244,0.032230994067044536
clean_amazon_reduced_min5,45,AsymLightGCN,1433,0.049995015452098494,0.02452445382371787,0.12942997918573634,0.04171022269674978
clean_amazon_reduced_min5,45,LightGCN,1433,0.03080450603130296,0.018497451991407947,0.08895756488219853,0.031312943848326856
clean_amazon_reduced_min5,45,MostPopIndependent,1433,0.028594689794968927,0.013115186131813285,0.09310757862746698,0.026992738809249784
clean_amazon_reduced_min5,45,NCL,1433,0.03628750872295883,0.01938144055050202,0.08820157511713687,0.030753156393565788
clean_amazon_reduced_min5,45,Semantic-only,1433,0.04524307978599675,0.03219239976498174,0.0825025753497491,0.04062262719948227
clean_amazon_reduced_min5,46,AsymLightGCN,1433,0.045031614117448035,0.02546439856464309,0.13455031825583116,0.04496404772322755
clean_amazon_reduced_min5,46,LightGCN,1433,0.03686903931146778,0.018651037586031982,0.0889741800418702,0.030270117673753937
clean_amazon_reduced_min5,46,MostPopIndependent,1433,0.031518957897185396,0.016444432751462387,0.08420562921609676,0.027949625240285627
clean_amazon_reduced_min5,46,NCL,1433,0.04024191672481972,0.021226859579161653,0.09702256338683414,0.03356466040257583
clean_amazon_reduced_min5,46,Semantic-only,1433,0.042219120725750174,0.026765498608644512,0.08571760874622004,0.03624754830037374
clean_amazon_reduced_min5,47,AsymLightGCN,1433,0.04943010002326122,0.024816670631116526,0.13715980460572227,0.04389821822924182
clean_amazon_reduced_min5,47,LightGCN,1433,0.032449406838799724,0.020448052902011533,0.08645033728774133,0.03252889477665901
clean_amazon_reduced_min5,47,MostPopIndependent,1433,0.03303093742730868,0.014503117955761664,0.08885787392416841,0.026474994617051502
clean_amazon_reduced_min5,47,NCL,1433,0.03163526401488718,0.01944107603291389,0.08589206792277274,0.031314735619452104
clean_amazon_reduced_min5,47,Semantic-only,1433,0.055826936496859735,0.0368349976826394,0.09675007476821852,0.04574339982726114
